Origen;Destino
EC:2.3.3.1;oxaloacetate [CPD:C00036]
"citrate [CPD:C00158];";EC:2.3.3.1
CoA [CPD:C00010];EC:2.3.3.1
EC:1.1.1.37;"(S)-malate [CPD:C00149];"
EC:1.1.1.37;NAD+ [CPD:C00003]
"oxaloacetate [CPD:C00036];";EC:1.1.1.37
"NADH [CPD:C00004];";EC:1.1.1.37
H+ [CPD:C00080];EC:1.1.1.37
EC:4.2.1.2;(S)-malate [CPD:C00149]
"fumarate [CPD:C00122];";EC:4.2.1.2
H2O [CPD:C00001];EC:4.2.1.2
EC:6.2.1.5;"ATP [CPD:C00002];"
EC:6.2.1.5;"succinate [CPD:C00042];"
EC:6.2.1.5;CoA [CPD:C00010]
"ADP [CPD:C00008];";EC:6.2.1.5
"phosphate [CPD:C00009];";EC:6.2.1.5
succinyl-CoA [CPD:C00091];EC:6.2.1.5
EC:2.3.1.61;"succinyl-CoA [CPD:C00091];"
EC:2.3.1.61;enzyme N6-(dihydrolipoyl)lysine [CPD:C15973]
"CoA [CPD:C00010];";EC:2.3.1.61
enzyme N6-(S-succinyldihydrolipoyl)lysine [CPD:C16254];EC:2.3.1.61
EC:1.2.4.2;"2-oxoglutarate [CPD:C00026];"
EC:1.2.4.2;[dihydrolipoyllysine-residue succinyltransferase] lipoyllysine
"[dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine [CPD:C16254];";EC:1.2.4.2
CO2 [CPD:C00011];EC:1.2.4.2
EC:1.1.1.42;"isocitrate [CPD:C00311];"
EC:1.1.1.42;"NADP+ [CPD:C00006];"
EC:1.1.1.42;oxalosuccinate [CPD:C05379]
"2-oxoglutarate [CPD:C00026];";EC:1.1.1.42
"CO2 [CPD:C00011];";EC:1.1.1.42
"NADPH [CPD:C00005];";EC:1.1.1.42
"H+ [CPD:C00080];";EC:1.1.1.42
oxalosuccinate [CPD:C05379];EC:1.1.1.42
EC:4.2.1.3 4.2.1.99;"citrate [CPD:C00158];"
EC:4.2.1.3 4.2.1.99;"cis-aconitate [CPD:C00417];"
EC:4.2.1.3 4.2.1.99;H2O [CPD:C00001]
"isocitrate [CPD:C00311];";EC:4.2.1.3 4.2.1.99
"cis-aconitate [CPD:C00417];";EC:4.2.1.3 4.2.1.99
H2O [CPD:C00001];EC:4.2.1.3 4.2.1.99
EC:1.1.5.4;"(S)-malate [CPD:C00149];"
EC:1.1.5.4;quinone [CPD:C15602]
"oxaloacetate [CPD:C00036];";EC:1.1.5.4
reduced quinone [CPD:C15603];EC:1.1.5.4
EC:2.7.1.45;"ATP [CPD:C00002];"
EC:2.7.1.45;2-dehydro-3-deoxy-D-gluconate [CPD:C00204]
"ADP [CPD:C00008];";EC:2.7.1.45
2-dehydro-3-deoxy-6-phospho-D-gluconate [CPD:C04442];EC:2.7.1.45
EC:4.2.1.12;6-phospho-D-gluconate [CPD:C00345]
"2-dehydro-3-deoxy-6-phospho-D-gluconate [CPD:C04442];";EC:4.2.1.12
H2O [CPD:C00001];EC:4.2.1.12
EC:4.1.2.14 4.1.3.42;2-dehydro-3-deoxy-6-phospho-D-gluconate [CPD:C04442]
"pyruvate [CPD:C00022];";EC:4.1.2.14 4.1.3.42
D-glyceraldehyde 3-phosphate [CPD:C00118];EC:4.1.2.14 4.1.3.42
EC:1.1.1.44 1.1.1.343;"6-phospho-D-gluconate [CPD:C00345];"
EC:1.1.1.44 1.1.1.343;NADP+ [CPD:C00006]
"D-ribulose 5-phosphate [CPD:C00199];";EC:1.1.1.44 1.1.1.343
"CO2 [CPD:C00011];";EC:1.1.1.44 1.1.1.343
"NADPH [CPD:C00005];";EC:1.1.1.44 1.1.1.343
H+ [CPD:C00080];EC:1.1.1.44 1.1.1.343
EC:3.1.1.31;"6-phospho-D-glucono-1,5-lactone [CPD:C01236];"
EC:3.1.1.31;H2O [CPD:C00001]
6-phospho-D-gluconate [CPD:C00345];EC:3.1.1.31
EC:2.7.1.12;"ATP [CPD:C00002];"
EC:2.7.1.12;D-gluconate [CPD:C00257]
"ADP [CPD:C00008];";EC:2.7.1.12
6-phospho-D-gluconate [CPD:C00345];EC:2.7.1.12
EC:1.1.1.49 1.1.1.363;"D-glucose 6-phosphate [CPD:C00092];"
EC:1.1.1.49 1.1.1.363;NADP+ [CPD:C00006]
"6-phospho-D-glucono-1,5-lactone [CPD:C01236];";EC:1.1.1.49 1.1.1.363
"NADPH [CPD:C00005];";EC:1.1.1.49 1.1.1.363
H+ [CPD:C00080];EC:1.1.1.49 1.1.1.363
EC:5.1.3.1;D-ribulose 5-phosphate [CPD:C00199]
D-xylulose 5-phosphate [CPD:C00231];EC:5.1.3.1
EC:5.3.1.6;D-ribose 5-phosphate [CPD:C00117]
D-ribulose 5-phosphate [CPD:C00199];EC:5.3.1.6
EC:2.2.1.1;"sedoheptulose 7-phosphate [CPD:C05382];"
EC:2.2.1.1;D-glyceraldehyde 3-phosphate [CPD:C00118]
"D-ribose 5-phosphate [CPD:C00117];";EC:2.2.1.1
D-xylulose 5-phosphate [CPD:C00231];EC:2.2.1.1
EC:2.7.1.15;"ATP [CPD:C00002];"
EC:2.7.1.15;D-ribose [CPD:C00121]
"ADP [CPD:C00008];";EC:2.7.1.15
D-ribose 5-phosphate [CPD:C00117];EC:2.7.1.15
EC:5.4.2.7;alpha-D-ribose 1-phosphate [CPD:C00620]
D-ribose 5-phosphate [CPD:C00117];EC:5.4.2.7
EC:2.7.6.1;"ATP [CPD:C00002];"
EC:2.7.6.1;D-ribose 5-phosphate [CPD:C00117]
"AMP [CPD:C00020];";EC:2.7.6.1
5-phospho-alpha-D-ribose 1-diphosphate [CPD:C00119];EC:2.7.6.1
EC:2.2.1.2;"sedoheptulose 7-phosphate [CPD:C05382];"
EC:2.2.1.2;D-glyceraldehyde 3-phosphate [CPD:C00118]
"D-erythrose 4-phosphate [CPD:C00279];";EC:2.2.1.2
D-fructose 6-phosphate [CPD:C00085];EC:2.2.1.2
EC:2.7.4.23;"ATP [CPD:C00002];"
EC:2.7.4.23;alpha-D-ribose 1,5-bisphosphate [CPD:C01151]
"ADP [CPD:C00008];";EC:2.7.4.23
5-phospho-alpha-D-ribose 1-diphosphate [CPD:C00119];EC:2.7.4.23
EC:4.1.2.4;2-deoxy-D-ribose 5-phosphate [CPD:C00673]
"D-glyceraldehyde 3-phosphate [CPD:C00118];";EC:4.1.2.4
acetaldehyde [CPD:C00084];EC:4.1.2.4
EC:1.1.1.79 1.1.1.81 1.1.1.215;"glycolate [CPD:C00160];"
EC:1.1.1.79 1.1.1.81 1.1.1.215;NADP+ [CPD:C00006]
"glyoxylate [CPD:C00048];";EC:1.1.1.79 1.1.1.81 1.1.1.215
"NADPH [CPD:C00005];";EC:1.1.1.79 1.1.1.81 1.1.1.215
H+ [CPD:C00080];EC:1.1.1.79 1.1.1.81 1.1.1.215
EC:5.3.1.12;D-glucuronate [CPD:C00191]
D-fructuronate [CPD:C00905];EC:5.3.1.12
EC:1.1.1.58;"D-altronate [CPD:C00817];"
EC:1.1.1.58;NAD+ [CPD:C00003]
"D-tagaturonate [CPD:C00558];";EC:1.1.1.58
"NADH [CPD:C00004];";EC:1.1.1.58
H+ [CPD:C00080];EC:1.1.1.58
EC:4.2.1.7;D-altronate [CPD:C00817]
"2-dehydro-3-deoxy-D-gluconate [CPD:C00204];";EC:4.2.1.7
H2O [CPD:C00001];EC:4.2.1.7
EC:5.3.1.17;5-dehydro-4-deoxy-D-glucuronate [CPD:C04053]
3-deoxy-D-glycero-2,5-hexodiulosonate [CPD:C04349];EC:5.3.1.17
EC:1.1.1.127;"2-dehydro-3-deoxy-D-gluconate [CPD:C00204];"
EC:1.1.1.127;NAD+ [CPD:C00003]
"(4S)-4,6-dihydroxy-2,5-dioxohexanoate [CPD:C04349];";EC:1.1.1.127
"NADH [CPD:C00004];";EC:1.1.1.127
H+ [CPD:C00080];EC:1.1.1.127
EC:1.1.1.57;"D-mannonate [CPD:C00514];"
EC:1.1.1.57;NAD+ [CPD:C00003]
"D-fructuronate [CPD:C00905];";EC:1.1.1.57
"NADH [CPD:C00004];";EC:1.1.1.57
H+ [CPD:C00080];EC:1.1.1.57
EC:4.2.1.8;D-mannonate [CPD:C00514]
"2-dehydro-3-deoxy-D-gluconate [CPD:C00204];";EC:4.2.1.8
H2O [CPD:C00001];EC:4.2.1.8
EC:3.2.1.31;"beta-D-glucuronoside [CPD:C03033];"
EC:3.2.1.31;H2O [CPD:C00001]
"D-glucuronate [CPD:C00191];";EC:3.2.1.31
alcohol [CPD:C00069];EC:3.2.1.31
EC:2.7.7.9;"UTP [CPD:C00075];"
EC:2.7.7.9;alpha-D-glucose 1-phosphate [CPD:C00103]
"diphosphate [CPD:C00013];";EC:2.7.7.9
UDP-glucose [CPD:C00029];EC:2.7.7.9
EC:1.1.1.22;"UDP-alpha-D-glucose [CPD:C00029];"
EC:1.1.1.22;"NAD+ [CPD:C00003];"
EC:1.1.1.22;H2O [CPD:C00001]
"UDP-alpha-D-glucuronate [CPD:C00167];";EC:1.1.1.22
"NADH [CPD:C00004];";EC:1.1.1.22
H+ [CPD:C00080];EC:1.1.1.22
EC:2.7.1.53;"ATP [CPD:C00002];"
EC:2.7.1.53;L-xylulose [CPD:C00312]
"ADP [CPD:C00008];";EC:2.7.1.53
L-xylulose 5-phosphate [CPD:C03291];EC:2.7.1.53
EC:1.1.1.130;"3-dehydro-L-gulonate [CPD:C00618];"
EC:1.1.1.130;"NAD+ [CPD:C00003];"
EC:1.1.1.130;NADP+ [CPD:C00006]
"(4R,5S)-4,5,6-trihydroxy-2,3-dioxohexanoate [CPD:C04575];";EC:1.1.1.130
"NADH [CPD:C00004];";EC:1.1.1.130
"NADPH [CPD:C00005];";EC:1.1.1.130
H+ [CPD:C00080];EC:1.1.1.130
EC:4.1.1.85;"3-dehydro-L-gulonate 6-phosphate [CPD:C14899];"
EC:4.1.1.85;H+ [CPD:C00080]
"L-xylulose 5-phosphate [CPD:C03291];";EC:4.1.1.85
CO2 [CPD:C00011];EC:4.1.1.85
EC:5.3.1.4;L-arabinose [CPD:C00259]
L-ribulose [CPD:C00508];EC:5.3.1.4
EC:2.7.1.16;"ATP [CPD:C00002];"
EC:2.7.1.16;"L-ribulose [CPD:C00508];"
EC:2.7.1.16;D-ribulose [CPD:C00309]
"ADP [CPD:C00008];";EC:2.7.1.16
"L-ribulose 5-phosphate [CPD:C01101];";EC:2.7.1.16
D-ribulose 5-phosphate [CPD:C00199];EC:2.7.1.16
EC:5.1.3.4;L-ribulose 5-phosphate [CPD:C01101]
D-xylulose 5-phosphate [CPD:C00231];EC:5.1.3.4
EC:5.1.3.22;L-ribulose 5-phosphate [CPD:C01101]
L-xylulose 5-phosphate [CPD:C03291];EC:5.1.3.22
EC:2.7.1.5;"ATP [CPD:C00002];"
EC:2.7.1.5;L-rhamnulose [CPD:C00861]
"ADP [CPD:C00008];";EC:2.7.1.5
L-rhamnulose 1-phosphate [CPD:C01131];EC:2.7.1.5
EC:4.1.2.19;L-rhamnulose 1-phosphate [CPD:C01131]
"glycerone phosphate [CPD:C00111];";EC:4.1.2.19
(S)-lactaldehyde [CPD:C00424];EC:4.1.2.19
EC:2.7.1.17;"ATP [CPD:C00002];"
EC:2.7.1.17;D-xylulose [CPD:C00310]
"ADP [CPD:C00008];";EC:2.7.1.17
D-xylulose 5-phosphate [CPD:C00231];EC:2.7.1.17
EC:5.3.1.5;D-xylopyranose
D-xylulose [CPD:C00310];EC:5.3.1.5
EC:4.2.1.82;D-xylonate [CPD:C00502]
"2-dehydro-3-deoxy-D-arabinonate [CPD:C03826];";EC:4.2.1.82
H2O [CPD:C00001];EC:4.2.1.82
EC:4.1.2.28;2-dehydro-3-deoxy-D-pentonate [CPD:C03826]
"pyruvate [CPD:C00022];";EC:4.1.2.28
glycolaldehyde [CPD:C00266];EC:4.1.2.28
EC:1.1.1.380;"L-gulonate [CPD:C00800];"
EC:1.1.1.380;NAD+ [CPD:C00003]
"D-fructuronate [CPD:C00905];";EC:1.1.1.380
"NADH [CPD:C00004];";EC:1.1.1.380
H+ [CPD:C00080];EC:1.1.1.380
EC:2.7.1.4;"ATP [CPD:C00002];"
EC:2.7.1.4;D-fructose [CPD:C00095]
"ADP [CPD:C00008];";EC:2.7.1.4
D-fructose 6-phosphate [CPD:C00085];EC:2.7.1.4
EC:2.7.1.197;"[protein]-Npi-phospho-L-histidine [CPD:C04261];"
EC:2.7.1.197;D-mannitol[side 1] [CPD:C00392]
"[protein]-L-histidine [CPD:C00615];";EC:2.7.1.197
D-mannitol 1-phosphate[side 2] [CPD:C00644];EC:2.7.1.197
EC:1.1.1.17;"D-mannitol 1-phosphate [CPD:C00644];"
EC:1.1.1.17;NAD+ [CPD:C00003]
"D-fructose 6-phosphate [CPD:C00085];";EC:1.1.1.17
"NADH [CPD:C00004];";EC:1.1.1.17
H+ [CPD:C00080];EC:1.1.1.17
EC:1.1.1.140;"D-sorbitol 6-phosphate [CPD:C01096];"
EC:1.1.1.140;NAD+ [CPD:C00003]
"D-fructose 6-phosphate [CPD:C00085];";EC:1.1.1.140
"NADH [CPD:C00004];";EC:1.1.1.140
H+ [CPD:C00080];EC:1.1.1.140
EC:5.3.1.8;D-mannose 6-phosphate [CPD:C00275]
D-fructose 6-phosphate [CPD:C00085];EC:5.3.1.8
EC:2.7.1.56;"ATP [CPD:C00002];"
EC:2.7.1.56;D-fructose 1-phosphate [CPD:C01094]
"ADP [CPD:C00008];";EC:2.7.1.56
D-fructose 1,6-bisphosphate [CPD:C00354];EC:2.7.1.56
EC:2.7.1.191;"[protein]-Npi-phospho-L-histidine [CPD:C04261];"
EC:2.7.1.191;D-mannose[side 1] [CPD:C00159]
"[protein]-L-histidine [CPD:C00615];";EC:2.7.1.191
D-mannose 6-phosphate[side 2] [CPD:C00275];EC:2.7.1.191
EC:5.4.2.8;alpha-D-mannose 1-phosphate [CPD:C00636]
D-mannose 6-phosphate [CPD:C00275];EC:5.4.2.8
EC:2.7.7.13;"GTP [CPD:C00044];"
EC:2.7.7.13;alpha-D-mannose 1-phosphate [CPD:C00636]
"diphosphate [CPD:C00013];";EC:2.7.7.13
GDP-mannose [CPD:C00096];EC:2.7.7.13
EC:4.2.1.47;GDP-alpha-D-mannose [CPD:C00096]
"GDP-4-dehydro-alpha-D-rhamnose [CPD:C01222];";EC:4.2.1.47
H2O [CPD:C00001];EC:4.2.1.47
EC:1.1.1.271;"GDP-beta-L-fucose [CPD:C00325];"
EC:1.1.1.271;NADP+ [CPD:C00006]
"GDP-4-dehydro-alpha-D-rhamnose [CPD:C01222];";EC:1.1.1.271
"NADPH [CPD:C00005];";EC:1.1.1.271
H+ [CPD:C00080];EC:1.1.1.271
EC:2.7.1.51;"ATP [CPD:C00002];"
EC:2.7.1.51;L-fuculose [CPD:C01721]
"ADP [CPD:C00008];";EC:2.7.1.51
L-fuculose 1-phosphate [CPD:C01099];EC:2.7.1.51
EC:5.3.1.25 5.3.1.3;L-fucopyranose
L-fuculose [CPD:C01721];EC:5.3.1.25 5.3.1.3
EC:4.1.2.17;L-fuculose 1-phosphate [CPD:C01099]
"glycerone phosphate [CPD:C00111];";EC:4.1.2.17
(S)-lactaldehyde [CPD:C00424];EC:4.1.2.17
EC:4.1.2.53;2-dehydro-3-deoxy-L-rhamnonate [CPD:C03979]
"pyruvate [CPD:C00022];";EC:4.1.2.53
(S)-lactaldehyde [CPD:C00424];EC:4.1.2.53
EC:4.2.1.90;L-rhamnonate [CPD:C01934]
"2-dehydro-3-deoxy-L-rhamnonate [CPD:C03979];";EC:4.2.1.90
H2O [CPD:C00001];EC:4.2.1.90
EC:5.3.1.14;L-rhamnopyranose [CPD:C00507]
L-rhamnulose [CPD:C00861];EC:5.3.1.14
EC:2.7.1.202;"[protein]-Npi-phospho-L-histidine [CPD:C04261];"
EC:2.7.1.202;D-fructose[side 1] [CPD:C00095]
"[protein]-L-histidine [CPD:C00615];";EC:2.7.1.202
D-fructose 1-phosphate[side 2] [CPD:C01094];EC:2.7.1.202
EC:5.3.1.6;D-ribose 5-phosphate [CPD:C00117]
D-ribulose 5-phosphate [CPD:C00199];EC:5.3.1.6
EC:2.7.1.55;"ATP [CPD:C00002];"
EC:2.7.1.55;D-allose [CPD:C01487]
"ADP [CPD:C00008];";EC:2.7.1.55
D-allose 6-phosphate [CPD:C02962];EC:2.7.1.55
EC:3.2.1.22;Also hydrolyses alpha-D-fucosides.
EC 3.2.1.22 created 1961;EC:3.2.1.22
EC:3.2.1.23;"Some enzymes in this group hydrolyse alpha-L-arabinosides; some animal enzymes also hydrolyse beta-D-fucosides and beta-D-glucosides; cf. EC 3.2.1.108 lactase."
EC 3.2.1.23 created 1961, modified 1980;EC:3.2.1.23
EC:2.7.1.58;"ATP [CPD:C00002];"
EC:2.7.1.58;2-dehydro-3-deoxy-D-galactonate [CPD:C01216]
"ADP [CPD:C00008];";EC:2.7.1.58
2-dehydro-3-deoxy-6-phospho-D-galactonate [CPD:C01286];EC:2.7.1.58
EC:4.2.1.6;D-galactonate [CPD:C00880]
"2-dehydro-3-deoxy-D-galactonate [CPD:C01216];";EC:4.2.1.6
H2O [CPD:C00001];EC:4.2.1.6
EC:4.1.2.21;2-dehydro-3-deoxy-6-phospho-D-galactonate [CPD:C01286]
"pyruvate [CPD:C00022];";EC:4.1.2.21
D-glyceraldehyde 3-phosphate [CPD:C00118];EC:4.1.2.21
EC:1.1.1.251;"galactitol 1-phosphate [CPD:C06311];"
EC:1.1.1.251;NAD+ [CPD:C00003]
"D-tagatose 6-phosphate [CPD:C01097];";EC:1.1.1.251
"NADH [CPD:C00004];";EC:1.1.1.251
H+ [CPD:C00080];EC:1.1.1.251
EC:5.1.3.2;UDP-alpha-D-glucose [CPD:C00029]
UDP-alpha-D-galactose [CPD:C00052];EC:5.1.3.2
EC:2.7.7.12;"UDP-alpha-D-glucose [CPD:C00029];"
EC:2.7.7.12;alpha-D-galactose 1-phosphate [CPD:C00446]
"alpha-D-glucose 1-phosphate [CPD:C00103];";EC:2.7.7.12
UDP-alpha-D-galactose [CPD:C00052];EC:2.7.7.12
EC:2.7.1.200;"[protein]-Npi-phospho-L-histidine [CPD:C04261];"
EC:2.7.1.200;galactitol[side 1] [CPD:C01697]
"[protein]-L-histidine [CPD:C00615];";EC:2.7.1.200
galactitol 1-phosphate[side 2] [CPD:C06311];EC:2.7.1.200
EC:3.2.1.20;This single entry covers a group of enzymes whose specificity is directed mainly towards the exohydrolysis of (1->4)-alpha-glucosidic linkages, and that hydrolyse oligosaccharides rapidly, relative to polysaccharide, which are hydrolysed relatively slowly, or not at all. The intestinal enzyme also hydrolyses polysaccharides, catalysing the reactions of EC 3.2.1.3 glucan 1,4-alpha-glucosidase and, more slowly, hydrolyses (1->6)-alpha-D-glucose links.
EC 3.2.1.20 created 1961;EC:3.2.1.20
EC:2.7.1.6;"ATP [CPD:C00002];"
EC:2.7.1.6;alpha-D-galactose [CPD:C00984]
"ADP [CPD:C00008];";EC:2.7.1.6
alpha-D-galactose 1-phosphate [CPD:C00446];EC:2.7.1.6
EC:5.4.99.9;UDP-alpha-D-galactopyranose [CPD:C00052]
UDP-alpha-D-galactofuranose [CPD:C03733];EC:5.4.99.9
EC:4.2.1.40;D-glucarate [CPD:C00818]
"5-dehydro-4-deoxy-D-glucarate [CPD:C00679];";EC:4.2.1.40
H2O [CPD:C00001];EC:4.2.1.40
EC:4.2.1.42;galactarate [CPD:C00879]
"(2R,3S)-2,3-dihydroxy-5-oxohexanedioate [CPD:C00679];";EC:4.2.1.42
H2O [CPD:C00001];EC:4.2.1.42
EC:4.1.2.20;2-dehydro-3-deoxy-D-glucarate [CPD:C03921]
"pyruvate [CPD:C00022];";EC:4.1.2.20
2-hydroxy-3-oxopropanoate [CPD:C01146];EC:4.1.2.20
EC:2.3.1.39;"malonyl-CoA [CPD:C00083];"
EC:2.3.1.39;[acyl-carrier protein] [CPD:C00229]
"CoA [CPD:C00010];";EC:2.3.1.39
malonyl-[acyl-carrier protein] [CPD:C01209];EC:2.3.1.39
EC:6.4.1.2 2.1.3.15;"ATP [CPD:C00002];"
EC:6.4.1.2 2.1.3.15;"acetyl-CoA [CPD:C00024];"
EC:6.4.1.2 2.1.3.15;hydrogencarbonate [CPD:C00288]
"ADP [CPD:C00008];";EC:6.4.1.2 2.1.3.15
"phosphate [CPD:C00009];";EC:6.4.1.2 2.1.3.15
malonyl-CoA [CPD:C00083];EC:6.4.1.2 2.1.3.15
EC:4.2.1.59 5.3.3.14;(3R)-3-hydroxyacyl-[acyl-carrier protein] [CPD:C01271]
"trans-2-enoyl-[acyl-carrier protein] [CPD:C00693];";EC:4.2.1.59 5.3.3.14
H2O [CPD:C00001];EC:4.2.1.59 5.3.3.14
EC:1.1.1.100;"(3R)-3-hydroxyacyl-[acyl-carrier protein] [CPD:C01271];"
EC:1.1.1.100;NADP+ [CPD:C00006]
"3-oxoacyl-[acyl-carrier protein] [CPD:C00685];";EC:1.1.1.100
