;Origen;Destino
EC:5.1.3.3;alpha-D-glucose [CPD:C00267]
EC:2.7.2.3;"ATP [CPD:C00002];"
EC:2.7.2.3;3-phospho-D-glycerate [CPD:C00197]
"ADP [CPD:C00008];";EC:2.7.2.3
3-phospho-D-glyceroyl phosphate [CPD:C00236];EC:2.7.2.3
EC:1.2.1.59;"D-glyceraldehyde 3-phosphate [CPD:C00118];"
EC:1.2.1.59;"phosphate [CPD:C00009];"
EC:1.2.1.59;"NAD+ [CPD:C00003];"
EC:1.2.1.59;NADP+ [CPD:C00006]
"3-phospho-D-glyceroyl phosphate [CPD:C00236];";EC:1.2.1.59
"NADH [CPD:C00004];";EC:1.2.1.59
"NADPH [CPD:C00005];";EC:1.2.1.59
H+ [CPD:C00080];EC:1.2.1.59
EC:4.1.1.32;"GTP [CPD:C00044];"
EC:4.1.1.32;oxaloacetate [CPD:C00036]
"GDP [CPD:C00035];";EC:4.1.1.32
"phosphoenolpyruvate [CPD:C00074];";EC:4.1.1.32
CO2 [CPD:C00011];EC:4.1.1.32
EC:1.2.7.7 1.2.7.1;"3-methyl-2-oxobutanoate [CPD:C00141];"
EC:1.2.7.7 1.2.7.1;"CoA [CPD:C00010];"
EC:1.2.7.7 1.2.7.1;oxidized ferredoxin [CPD:C00139]
"S-(2-methylpropanoyl)-CoA;";EC:1.2.7.7 1.2.7.1
"CO2 [CPD:C00011];";EC:1.2.7.7 1.2.7.1
"reduced ferredoxin [CPD:C00138];";EC:1.2.7.7 1.2.7.1
H+ [CPD:C00080];EC:1.2.7.7 1.2.7.1
EC:6.2.1.1;"ATP [CPD:C00002];"
EC:6.2.1.1;"acetate [CPD:C00033];"
EC:6.2.1.1;CoA [CPD:C00010]
"AMP [CPD:C00020];";EC:6.2.1.1
"diphosphate [CPD:C00013];";EC:6.2.1.1
acetyl-CoA [CPD:C00024];EC:6.2.1.1
EC:5.4.2.12;2-phospho-D-glycerate [CPD:C00631]
3-phospho-D-glycerate [CPD:C00197];EC:5.4.2.12
EC:1.2.7.3 1.2.7.11;"2-oxoglutarate [CPD:C00026];"
EC:1.2.7.3 1.2.7.11;"CoA [CPD:C00010];"
EC:1.2.7.3 1.2.7.11;oxidized ferredoxin [CPD:C00139]
"succinyl-CoA [CPD:C00091];";EC:1.2.7.3 1.2.7.11
"CO2 [CPD:C00011];";EC:1.2.7.3 1.2.7.11
"reduced ferredoxin [CPD:C00138];";EC:1.2.7.3 1.2.7.11
H+ [CPD:C00080];EC:1.2.7.3 1.2.7.11
EC:2.3.3.1;"acetyl-CoA [CPD:C00024];"
EC:2.3.3.1;"H2O [CPD:C00001];"
EC:2.3.3.1;oxaloacetate [CPD:C00036]
"citrate [CPD:C00158];";EC:2.3.3.1
CoA [CPD:C00010];EC:2.3.3.1
EC:1.1.1.37;"(S)-malate [CPD:C00149];"
EC:1.1.1.37;NAD+ [CPD:C00003]
"oxaloacetate [CPD:C00036];";EC:1.1.1.37
"NADH [CPD:C00004];";EC:1.1.1.37
H+ [CPD:C00080];EC:1.1.1.37
EC:4.2.1.2;(S)-malate [CPD:C00149]
"fumarate [CPD:C00122];";EC:4.2.1.2
H2O [CPD:C00001];EC:4.2.1.2
EC:1.3.5.1 1.3.5.4;"succinate [CPD:C00042];"
EC:1.3.5.1 1.3.5.4;quinone [CPD:C15602]
"fumarate [CPD:C00122];";EC:1.3.5.1 1.3.5.4
quinol [CPD:C15603];EC:1.3.5.1 1.3.5.4
EC:6.2.1.5;"ATP [CPD:C00002];"
EC:6.2.1.5;"succinate [CPD:C00042];"
EC:6.2.1.5;CoA [CPD:C00010]
"ADP [CPD:C00008];";EC:6.2.1.5
"phosphate [CPD:C00009];";EC:6.2.1.5
succinyl-CoA [CPD:C00091];EC:6.2.1.5
EC:1.1.1.42;"isocitrate [CPD:C00311];"
EC:1.1.1.42;"NADP+ [CPD:C00006];"
EC:1.1.1.42;oxalosuccinate [CPD:C05379]
"2-oxoglutarate [CPD:C00026];";EC:1.1.1.42
"CO2 [CPD:C00011];";EC:1.1.1.42
"NADPH [CPD:C00005];";EC:1.1.1.42
"H+ [CPD:C00080];";EC:1.1.1.42
oxalosuccinate [CPD:C05379];EC:1.1.1.42
EC:4.2.1.3;"citrate [CPD:C00158];"
EC:4.2.1.3;"cis-aconitate [CPD:C00417];"
EC:4.2.1.3;H2O [CPD:C00001]
"isocitrate [CPD:C00311];";EC:4.2.1.3
"cis-aconitate [CPD:C00417];";EC:4.2.1.3
H2O [CPD:C00001];EC:4.2.1.3
EC:5.3.1.6;D-ribose 5-phosphate [CPD:C00117]
D-ribulose 5-phosphate [CPD:C00199];EC:5.3.1.6
EC:5.1.3.1;D-ribulose 5-phosphate [CPD:C00199]
D-xylulose 5-phosphate [CPD:C00231];EC:5.1.3.1
EC:2.2.1.1;"sedoheptulose 7-phosphate [CPD:C05382];"
EC:2.2.1.1;D-glyceraldehyde 3-phosphate [CPD:C00118]
"D-ribose 5-phosphate [CPD:C00117];";EC:2.2.1.1
D-xylulose 5-phosphate [CPD:C00231];EC:2.2.1.1
EC:2.7.6.1;"ATP [CPD:C00002];"
EC:2.7.6.1;D-ribose 5-phosphate [CPD:C00117]
"AMP [CPD:C00020];";EC:2.7.6.1
5-phospho-alpha-D-ribose 1-diphosphate [CPD:C00119];EC:2.7.6.1
EC:2.2.1.2;"sedoheptulose 7-phosphate [CPD:C05382];"
EC:2.2.1.2;D-glyceraldehyde 3-phosphate [CPD:C00118]
"D-erythrose 4-phosphate [CPD:C00279];";EC:2.2.1.2
D-fructose 6-phosphate [CPD:C00085];EC:2.2.1.2
EC:4.1.2.4;2-deoxy-D-ribose 5-phosphate [CPD:C00673]
"D-glyceraldehyde 3-phosphate [CPD:C00118];";EC:4.1.2.4
acetaldehyde [CPD:C00084];EC:4.1.2.4
EC:1.2.7.5;"aldehyde [CPD:C00071];"
EC:1.2.7.5;"H2O [CPD:C00001];"
EC:1.2.7.5;oxidized ferredoxin [CPD:C00139]
"carboxylate [CPD:C00060];";EC:1.2.7.5
"H+ [CPD:C00080];";EC:1.2.7.5
reduced ferredoxin [CPD:C00138];EC:1.2.7.5
EC:2.7.1.165;"ATP [CPD:C00002];"
EC:2.7.1.165;D-glycerate [CPD:C00258]
"ADP [CPD:C00008];";EC:2.7.1.165
2-phospho-D-glycerate [CPD:C00631];EC:2.7.1.165
EC:4.1.2.55;"2-dehydro-3-deoxy-6-phospho-D-gluconate [CPD:C04442];"
EC:4.1.2.55;2-dehydro-3-deoxy-6-phospho-D-galactonate [CPD:C01286]
"pyruvate [CPD:C00022];";EC:4.1.2.55
D-glyceraldehyde 3-phosphate [CPD:C00118];EC:4.1.2.55
EC:4.1.2.51;2-dehydro-3-deoxy-D-gluconate [CPD:C00204]
"pyruvate [CPD:C00022];";EC:4.1.2.51
D-glyceraldehyde [CPD:C00577];EC:4.1.2.51
EC:1.2.1.89;"D-glyceraldehyde [CPD:C00577];"
EC:1.2.1.89;"NADP+ [CPD:C00006];"
EC:1.2.1.89;H2O [CPD:C00001]
"D-glycerate [CPD:C00258];";EC:1.2.1.89
"NADPH [CPD:C00005];";EC:1.2.1.89
H+ [CPD:C00080];EC:1.2.1.89
EC:2.7.7.13;"GTP [CPD:C00044];"
EC:2.7.7.13;alpha-D-mannose 1-phosphate [CPD:C00636]
"diphosphate [CPD:C00013];";EC:2.7.7.13
GDP-mannose [CPD:C00096];EC:2.7.7.13
EC:1.1.1.378 1.1.1.377 1.1.1.173;"L-rhamnose [CPD:C00507];"
EC:1.1.1.378 1.1.1.377 1.1.1.173;"NAD+ [CPD:C00003];"
EC:1.1.1.378 1.1.1.377 1.1.1.173;NADP+ [CPD:C00006]
"L-rhamnono-1,4-lactone [CPD:C02991];";EC:1.1.1.378 1.1.1.377 1.1.1.173
"NADH [CPD:C00004];";EC:1.1.1.378 1.1.1.377 1.1.1.173
"NADPH [CPD:C00005];";EC:1.1.1.378 1.1.1.377 1.1.1.173
H+ [CPD:C00080];EC:1.1.1.378 1.1.1.377 1.1.1.173
EC:3.2.1.23;"Some enzymes in this group hydrolyse alpha-L-arabinosides; some animal enzymes also hydrolyse beta-D-fucosides and beta-D-glucosides; cf. EC 3.2.1.108 lactase."
EC 3.2.1.23 created 1961, modified 1980;EC:3.2.1.23
EC:1.1.1.360;"D-glucopyranose [CPD:C00031];"
EC:1.1.1.360;"NADP+ [CPD:C00006];"
EC:1.1.1.360;D-galactopyranose [CPD:C00124]
"D-glucono-1,5-lactone [CPD:C00198];";EC:1.1.1.360
"NADPH [CPD:C00005];";EC:1.1.1.360
"H+ [CPD:C00080];";EC:1.1.1.360
D-galactono-1,5-lactone [CPD:C02669];EC:1.1.1.360
EC:4.2.1.6;D-galactonate [CPD:C00880]
"2-dehydro-3-deoxy-D-galactonate [CPD:C01216];";EC:4.2.1.6
H2O [CPD:C00001];EC:4.2.1.6
EC:1.3.8.7;"medium-chain acyl-CoA [CPD:C21926];"
EC:1.3.8.7;electron-transfer flavoprotein [CPD:C04253]
"medium-chain trans-2,3-dehydroacyl-CoA;";EC:1.3.8.7
reduced electron-transfer flavoprotein [CPD:C04570];EC:1.3.8.7
EC:2.3.1.9;"acetyl-CoA [CPD:C00024];"
EC:2.3.1.9;"[acetyl-CoA C-acetyltransferase]-L-cysteine;"
EC:2.3.1.9;[acetyl-CoA C-acetyltransferase]-S-acetyl-L-cysteine
"CoA [CPD:C00010];";EC:2.3.1.9
"acetoacetyl-CoA [CPD:C00332];";EC:2.3.1.9
"[acetyl-CoA C-acetyltransferase]-S-acetyl-L-cysteine;";EC:2.3.1.9
[acetyl-CoA C-acetyltransferase]-L-cysteine;EC:2.3.1.9
EC:2.3.3.10;"acetyl-CoA [CPD:C00024];"
EC:2.3.3.10;"H2O [CPD:C00001];"
EC:2.3.3.10;acetoacetyl-CoA [CPD:C00332]
"(S)-3-hydroxy-3-methylglutaryl-CoA [CPD:C00356];";EC:2.3.3.10
CoA [CPD:C00010];EC:2.3.3.10
EC:2.5.1.39;"polyprenyl diphosphate [CPD:C05847];"
EC:2.5.1.39;4-hydroxybenzoate [CPD:C00156]
"diphosphate [CPD:C00013];";EC:2.5.1.39
4-hydroxy-3-polyprenylbenzoate [CPD:C05848];EC:2.5.1.39
EC:2.5.1.129;"dimethylallyl phosphate [CPD:C21214];"
EC:2.5.1.129;FMNH2 [CPD:C01847]
"prenylated FMNH2 [CPD:C21215];";EC:2.5.1.129
phosphate [CPD:C00009];EC:2.5.1.129
EC:3.6.1.1;"diphosphate [CPD:C00013];"
EC:3.6.1.1;H2O [CPD:C00001]
phosphate [CPD:C00009];EC:3.6.1.1
EC:7.1.2.1;"ADP [CPD:C00008];"
EC:7.1.2.1;"phosphate [CPD:C00009];"
EC:7.1.2.1;H+[side 2]
A P-type ATPase that undergoes covalent phosphorylation during the transport cycle. This enzyme occurs in protozoa, fungi and plants, and generates an electrochemical potential gradient of protons across the plasma membrane.;EC:7.1.2.1
EC:6.3.5.3 3.5.1.2;"ATP [CPD:C00002];"
EC:6.3.5.3 3.5.1.2;"N2-formyl-N1-(5-phospho-D-ribosyl)glycinamide [CPD:C04376];"
EC:6.3.5.3 3.5.1.2;"L-glutamine [CPD:C00064];"
EC:6.3.5.3 3.5.1.2;H2O [CPD:C00001]
"ADP [CPD:C00008];";EC:6.3.5.3 3.5.1.2
"phosphate [CPD:C00009];";EC:6.3.5.3 3.5.1.2
"2-(formamido)-N1-(5-phospho-D-ribosyl)acetamidine [CPD:C04640];";EC:6.3.5.3 3.5.1.2
L-glutamate [CPD:C00025];EC:6.3.5.3 3.5.1.2
EC:2.7.2.2;"ATP [CPD:C00002];"
EC:2.7.2.2;"NH3 [CPD:C00014];"
EC:2.7.2.2;"hydrogencarbonate [CPD:C00288];"
EC:2.7.2.2;carbamate [CPD:C01563]
"ADP [CPD:C00008];";EC:2.7.2.2
"carbamoyl phosphate [CPD:C00169];";EC:2.7.2.2
"H2O [CPD:C00001];";EC:2.7.2.2
carbamate [CPD:C01563];EC:2.7.2.2
EC:1.4.1.3;"L-glutamate [CPD:C00025];"
EC:1.4.1.3;"H2O [CPD:C00001];"
EC:1.4.1.3;"NAD+ [CPD:C00003];"
EC:1.4.1.3;NADP+ [CPD:C00006]
"2-oxoglutarate [CPD:C00026];";EC:1.4.1.3
"NH3 [CPD:C00014];";EC:1.4.1.3
"NADH [CPD:C00004];";EC:1.4.1.3
"NADPH [CPD:C00005];";EC:1.4.1.3
H+ [CPD:C00080];EC:1.4.1.3
EC:6.3.1.2;"ATP [CPD:C00002];"
EC:6.3.1.2;"L-glutamate [CPD:C00025];"
EC:6.3.1.2;NH3 [CPD:C00014]
"ADP [CPD:C00008];";EC:6.3.1.2
"phosphate [CPD:C00009];";EC:6.3.1.2
L-glutamine [CPD:C00064];EC:6.3.1.2
EC:2.6.1.1;"L-aspartate [CPD:C00049];"
EC:2.6.1.1;2-oxoglutarate [CPD:C00026]
"oxaloacetate [CPD:C00036];";EC:2.6.1.1
L-glutamate [CPD:C00025];EC:2.6.1.1
EC:4.3.2.1;2-(Nomega-L-arginino)succinate [CPD:C03406]
"fumarate [CPD:C00122];";EC:4.3.2.1
L-arginine [CPD:C00062];EC:4.3.2.1
EC:3.5.3.6;"L-arginine [CPD:C00062];"
EC:3.5.3.6;H2O [CPD:C00001]
"L-citrulline [CPD:C00327];";EC:3.5.3.6
NH3 [CPD:C00014];EC:3.5.3.6
EC:6.3.4.5;"ATP [CPD:C00002];"
EC:6.3.4.5;"L-citrulline [CPD:C00327];"
EC:6.3.4.5;L-aspartate [CPD:C00049]
"AMP [CPD:C00020];";EC:6.3.4.5
"diphosphate [CPD:C00013];";EC:6.3.4.5
2-(Nomega-L-arginino)succinate [CPD:C03406];EC:6.3.4.5
EC:2.1.3.3;"carbamoyl phosphate [CPD:C00169];"
EC:2.1.3.3;L-ornithine [CPD:C00077]
"phosphate [CPD:C00009];";EC:2.1.3.3
L-citrulline [CPD:C00327];EC:2.1.3.3
EC:2.4.2.14;"5-phospho-beta-D-ribosylamine [CPD:C03090];"
EC:2.4.2.14;"diphosphate [CPD:C00013];"
EC:2.4.2.14;L-glutamate [CPD:C00025]
"L-glutamine [CPD:C00064];";EC:2.4.2.14
"5-phospho-alpha-D-ribose 1-diphosphate [CPD:C00119];";EC:2.4.2.14
H2O [CPD:C00001];EC:2.4.2.14
EC:6.3.4.13;"ATP [CPD:C00002];"
EC:6.3.4.13;"5-phospho-D-ribosylamine [CPD:C03090];"
EC:6.3.4.13;glycine [CPD:C00037]
"ADP [CPD:C00008];";EC:6.3.4.13
"phosphate [CPD:C00009];";EC:6.3.4.13
N1-(5-phospho-D-ribosyl)glycinamide [CPD:C03838];EC:6.3.4.13
EC:2.1.2.2;"10-formyltetrahydrofolate [CPD:C00234];"
EC:2.1.2.2;N1-(5-phospho-D-ribosyl)glycinamide [CPD:C03838]
"tetrahydrofolate [CPD:C00101];";EC:2.1.2.2
N2-formyl-N1-(5-phospho-D-ribosyl)glycinamide [CPD:C04376];EC:2.1.2.2
EC:6.3.5.3;"ATP [CPD:C00002];"
EC:6.3.5.3;"N2-formyl-N1-(5-phospho-D-ribosyl)glycinamide [CPD:C04376];"
EC:6.3.5.3;"L-glutamine [CPD:C00064];"
EC:6.3.5.3;H2O [CPD:C00001]
"ADP [CPD:C00008];";EC:6.3.5.3
"phosphate [CPD:C00009];";EC:6.3.5.3
"2-(formamido)-N1-(5-phospho-D-ribosyl)acetamidine [CPD:C04640];";EC:6.3.5.3
L-glutamate [CPD:C00025];EC:6.3.5.3
EC:6.3.3.1;"ATP [CPD:C00002];"
EC:6.3.3.1;2-(formamido)-N1-(5-phospho-D-ribosyl)acetamidine [CPD:C04640]
"ADP [CPD:C00008];";EC:6.3.3.1
"phosphate [CPD:C00009];";EC:6.3.3.1
5-amino-1-(5-phospho-D-ribosyl)imidazole [CPD:C03373];EC:6.3.3.1
EC:6.3.2.6;"ATP [CPD:C00002];"
EC:6.3.2.6;"5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate [CPD:C04751];"
EC:6.3.2.6;L-aspartate [CPD:C00049]
"ADP [CPD:C00008];";EC:6.3.2.6
"phosphate [CPD:C00009];";EC:6.3.2.6
(S)-2-[5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate [CPD:C04823];EC:6.3.2.6
EC:4.3.2.2;"N6-(1,2-dicarboxyethyl)AMP [CPD:C03794];"
EC:4.3.2.2;(S)-2-[5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate [CPD:C04823]
"fumarate [CPD:C00122];";EC:4.3.2.2
"AMP [CPD:C00020];";EC:4.3.2.2
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide [CPD:C04677];EC:4.3.2.2
EC:2.1.2.3 3.5.4.10;"10-formyltetrahydrofolate [CPD:C00234];"
EC:2.1.2.3 3.5.4.10;5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide [CPD:C04677]
"tetrahydrofolate [CPD:C00101];";EC:2.1.2.3 3.5.4.10
5-formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide [CPD:C04734];EC:2.1.2.3 3.5.4.10
EC:6.3.4.4;"GTP [CPD:C00044];"
EC:6.3.4.4;"IMP [CPD:C00130];"
EC:6.3.4.4;L-aspartate [CPD:C00049]
"GDP [CPD:C00035];";EC:6.3.4.4
"phosphate [CPD:C00009];";EC:6.3.4.4
N6-(1,2-dicarboxyethyl)-AMP [CPD:C03794];EC:6.3.4.4
EC:1.1.1.205;"IMP [CPD:C00130];"
EC:1.1.1.205;"NAD+ [CPD:C00003];"
EC:1.1.1.205;H2O [CPD:C00001]
"XMP [CPD:C00655];";EC:1.1.1.205
"NADH [CPD:C00004];";EC:1.1.1.205
H+ [CPD:C00080];EC:1.1.1.205
EC:2.7.1.73 2.7.1.213 2.7.1.-;"ATP [CPD:C00002];"
EC:2.7.1.73 2.7.1.213 2.7.1.-;inosine [CPD:C00294]
"ADP [CPD:C00008];";EC:2.7.1.73 2.7.1.213 2.7.1.-
IMP [CPD:C00130];EC:2.7.1.73 2.7.1.213 2.7.1.-
EC:2.7.4.3;"ATP [CPD:C00002];"
EC:2.7.4.3;AMP [CPD:C00020]
ADP [CPD:C00008];EC:2.7.4.3
EC:1.17.4.1;"2'-deoxyribonucleoside 5'-diphosphate [CPD:C04232];"
EC:1.17.4.1;"thioredoxin disulfide [CPD:C00343];"
EC:1.17.4.1;H2O [CPD:C00001]
"ribonucleoside 5'-diphosphate [CPD:C03723];";EC:1.17.4.1
thioredoxin [CPD:C00342];EC:1.17.4.1
EC:2.7.4.6;"ATP [CPD:C00002];"
EC:2.7.4.6;nucleoside diphosphate [CPD:C00454]
"ADP [CPD:C00008];";EC:2.7.4.6
nucleoside triphosphate [CPD:C00201];EC:2.7.4.6
EC:3.6.1.15;"nucleoside triphosphate [CPD:C00201];"
EC:3.6.1.15;H2O [CPD:C00001]
"nucleoside diphosphate [CPD:C00454];";EC:3.6.1.15
phosphate [CPD:C00009];EC:3.6.1.15
EC:6.3.5.2;"ATP [CPD:C00002];"
EC:6.3.5.2;"XMP [CPD:C00655];"
EC:6.3.5.2;"L-glutamine [CPD:C00064];"
EC:6.3.5.2;"H2O [CPD:C00001];"
EC:6.3.5.2;NH3 [CPD:C00014]
"AMP [CPD:C00020];";EC:6.3.5.2
"diphosphate [CPD:C00013];";EC:6.3.5.2
"GMP [CPD:C00144];";EC:6.3.5.2
"L-glutamate [CPD:C00025];";EC:6.3.5.2
NH3 [CPD:C00014];EC:6.3.5.2
EC:6.3.4.18;"ATP [CPD:C00002];"
EC:6.3.4.18;"5-amino-1-(5-phospho-D-ribosyl)imidazole [CPD:C03373];"
EC:6.3.4.18;HCO3- [CPD:C00288]
"ADP [CPD:C00008];";EC:6.3.4.18
"phosphate [CPD:C00009];";EC:6.3.4.18
5-carboxyamino-1-(5-phospho-D-ribosyl)imidazole [CPD:C15667];EC:6.3.4.18
EC:5.4.99.18;5-carboxyamino-1-(5-phospho-D-ribosyl)imidazole [CPD:C15667]
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate [CPD:C04751];EC:5.4.99.18
EC:3.6.1.66;"XTP [CPD:C00700];"
EC:3.6.1.66;"H2O [CPD:C00001];"
EC:3.6.1.66;"dITP [CPD:C01345];"
EC:3.6.1.66;ITP [CPD:C00081]
"XMP [CPD:C00655];";EC:3.6.1.66
"diphosphate [CPD:C00013];";EC:3.6.1.66
"dIMP [CPD:C06196];";EC:3.6.1.66
IMP [CPD:C00130];EC:3.6.1.66
EC:6.3.5.5;"ATP [CPD:C00002];"
EC:6.3.5.5;"L-glutamine [CPD:C00064];"
EC:6.3.5.5;"hydrogencarbonate [CPD:C00288];"
EC:6.3.5.5;"H2O [CPD:C00001];"
EC:6.3.5.5;"NH3 [CPD:C00014];"
EC:6.3.5.5;"carboxyphosphate [CPD:C20969];"
EC:6.3.5.5;carbamate [CPD:C01563]
"ADP [CPD:C00008];";EC:6.3.5.5
"phosphate [CPD:C00009];";EC:6.3.5.5
"L-glutamate [CPD:C00025];";EC:6.3.5.5
"carbamoyl phosphate [CPD:C00169];";EC:6.3.5.5
"NH3 [CPD:C00014];";EC:6.3.5.5
"carboxyphosphate [CPD:C20969];";EC:6.3.5.5
carbamate [CPD:C01563];EC:6.3.5.5
EC:3.5.2.3;"(S)-dihydroorotate [CPD:C00337];"
EC:3.5.2.3;H2O [CPD:C00001]
N-carbamoyl-L-aspartate [CPD:C00438];EC:3.5.2.3
EC:2.4.2.10;"orotidine 5'-phosphate [CPD:C01103];"
EC:2.4.2.10;diphosphate [CPD:C00013]
"orotate [CPD:C00295];";EC:2.4.2.10
5-phospho-alpha-D-ribose 1-diphosphate [CPD:C00119];EC:2.4.2.10
EC:4.1.1.23;orotidine 5'-phosphate [CPD:C01103]
"UMP [CPD:C00105];";EC:4.1.1.23
CO2 [CPD:C00011];EC:4.1.1.23
EC:2.7.4.22;"ATP [CPD:C00002];"
EC:2.7.4.22;UMP [CPD:C00105]
"ADP [CPD:C00008];";EC:2.7.4.22
UDP [CPD:C00015];EC:2.7.4.22
EC:6.3.4.2;"ATP [CPD:C00002];"
EC:6.3.4.2;"UTP [CPD:C00075];"
EC:6.3.4.2;"L-glutamine [CPD:C00064];"
EC:6.3.4.2;"H2O [CPD:C00001];"
EC:6.3.4.2;NH3 [CPD:C00014]
"ADP [CPD:C00008];";EC:6.3.4.2
"phosphate [CPD:C00009];";EC:6.3.4.2
"CTP [CPD:C00063];";EC:6.3.4.2
"L-glutamate [CPD:C00025];";EC:6.3.4.2
NH3 [CPD:C00014];EC:6.3.4.2
EC:3.5.4.13;"dCTP [CPD:C00458];"
EC:3.5.4.13;H2O [CPD:C00001]
"dUTP [CPD:C00460];";EC:3.5.4.13
NH3 [CPD:C00014];EC:3.5.4.13
EC:3.5.4.12;"dCMP [CPD:C00239];"
EC:3.5.4.12;H2O [CPD:C00001]
"dUMP [CPD:C00365];";EC:3.5.4.12
NH3 [CPD:C00014];EC:3.5.4.12
EC:2.7.1.21;"ATP [CPD:C00002];"
EC:2.7.1.21;thymidine [CPD:C00214]
"ADP [CPD:C00008];";EC:2.7.1.21
dTMP [CPD:C00364];EC:2.7.1.21
EC:2.7.4.9;"ATP [CPD:C00002];"
EC:2.7.4.9;dTMP [CPD:C00364]
"ADP [CPD:C00008];";EC:2.7.4.9
dTDP [CPD:C00363];EC:2.7.4.9
EC:2.7.4.25;"ATP [CPD:C00002];"
EC:2.7.4.25;dCMP [CPD:C00239]
"ADP [CPD:C00008];";EC:2.7.4.25
dCDP [CPD:C00705];EC:2.7.4.25
EC:1.4.1.13;"L-glutamate [CPD:C00025];"
EC:1.4.1.13;"NADP+ [CPD:C00006];"
EC:1.4.1.13;"NH3 [CPD:C00014];"
EC:1.4.1.13;H2O [CPD:C00001]
"L-glutamine [CPD:C00064];";EC:1.4.1.13
"2-oxoglutarate [CPD:C00026];";EC:1.4.1.13
"NADPH [CPD:C00005];";EC:1.4.1.13
"H+ [CPD:C00080];";EC:1.4.1.13
"H2O [CPD:C00001];";EC:1.4.1.13
NH3 [CPD:C00014];EC:1.4.1.13
EC:2.6.1.16;"L-glutamine [CPD:C00064];"
EC:2.6.1.16;D-fructose 6-phosphate [CPD:C00085]
"L-glutamate [CPD:C00025];";EC:2.6.1.16
D-glucosamine 6-phosphate [CPD:C00352];EC:2.6.1.16
EC:1.2.1.88;"L-glutamate 5-semialdehyde [CPD:C01165];"
EC:1.2.1.88;"NAD+ [CPD:C00003];"
EC:1.2.1.88;H2O [CPD:C00001]
"L-glutamate [CPD:C00025];";EC:1.2.1.88
"NADH [CPD:C00004];";EC:1.2.1.88
H+ [CPD:C00080];EC:1.2.1.88
