;Origen;Destino
EC:5.1.3.3;alpha-D-glucose [CPD:C00267]
EC:1.2.4.2;[dihydrolipoyllysine-residue succinyltransferase] lipoyllysine
"[dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine [CPD:C16254];";EC:1.2.4.2
CO2 [CPD:C00011];EC:1.2.4.2
EC:1.1.1.41;"isocitrate [CPD:C00311];"
EC:1.1.1.41;NAD+ [CPD:C00003]
"2-oxoglutarate [CPD:C00026];";EC:1.1.1.41
"CO2 [CPD:C00011];";EC:1.1.1.41
NADH [CPD:C00004];EC:1.1.1.41
EC:1.1.1.42;"isocitrate [CPD:C00311];"
EC:1.1.1.42;"NADP+ [CPD:C00006];"
EC:1.1.1.42;oxalosuccinate [CPD:C05379]
"2-oxoglutarate [CPD:C00026];";EC:1.1.1.42
"CO2 [CPD:C00011];";EC:1.1.1.42
"NADPH [CPD:C00005];";EC:1.1.1.42
"H+ [CPD:C00080];";EC:1.1.1.42
oxalosuccinate [CPD:C05379];EC:1.1.1.42
EC:4.2.1.3;"citrate [CPD:C00158];"
EC:4.2.1.3;"cis-aconitate [CPD:C00417];"
EC:4.2.1.3;H2O [CPD:C00001]
"isocitrate [CPD:C00311];";EC:4.2.1.3
"cis-aconitate [CPD:C00417];";EC:4.2.1.3
H2O [CPD:C00001];EC:4.2.1.3
EC:2.7.1.12;"ATP [CPD:C00002];"
EC:2.7.1.12;D-gluconate [CPD:C00257]
"ADP [CPD:C00008];";EC:2.7.1.12
6-phospho-D-gluconate [CPD:C00345];EC:2.7.1.12
EC:3.1.1.17;"D-glucono-1,5-lactone [CPD:C00198];"
EC:3.1.1.17;H2O [CPD:C00001]
D-gluconate [CPD:C00257];EC:3.1.1.17
EC:1.1.1.44 1.1.1.343;"6-phospho-D-gluconate [CPD:C00345];"
EC:1.1.1.44 1.1.1.343;NADP+ [CPD:C00006]
"D-ribulose 5-phosphate [CPD:C00199];";EC:1.1.1.44 1.1.1.343
"CO2 [CPD:C00011];";EC:1.1.1.44 1.1.1.343
"NADPH [CPD:C00005];";EC:1.1.1.44 1.1.1.343
H+ [CPD:C00080];EC:1.1.1.44 1.1.1.343
EC:3.1.1.31;"6-phospho-D-glucono-1,5-lactone [CPD:C01236];"
EC:3.1.1.31;H2O [CPD:C00001]
6-phospho-D-gluconate [CPD:C00345];EC:3.1.1.31
EC:5.1.3.1;D-ribulose 5-phosphate [CPD:C00199]
D-xylulose 5-phosphate [CPD:C00231];EC:5.1.3.1
EC:5.3.1.6;D-ribose 5-phosphate [CPD:C00117]
D-ribulose 5-phosphate [CPD:C00199];EC:5.3.1.6
EC:2.2.1.1;"sedoheptulose 7-phosphate [CPD:C05382];"
EC:2.2.1.1;D-glyceraldehyde 3-phosphate [CPD:C00118]
"D-ribose 5-phosphate [CPD:C00117];";EC:2.2.1.1
D-xylulose 5-phosphate [CPD:C00231];EC:2.2.1.1
EC:2.7.1.15;"ATP [CPD:C00002];"
EC:2.7.1.15;D-ribose [CPD:C00121]
"ADP [CPD:C00008];";EC:2.7.1.15
D-ribose 5-phosphate [CPD:C00117];EC:2.7.1.15
EC:5.4.2.2 5.4.2.7;alpha-D-glucose 1-phosphate [CPD:C00103]
D-glucose 6-phosphate [CPD:C00092];EC:5.4.2.2 5.4.2.7
EC:2.7.6.1;"ATP [CPD:C00002];"
EC:2.7.6.1;D-ribose 5-phosphate [CPD:C00117]
"AMP [CPD:C00020];";EC:2.7.6.1
5-phospho-alpha-D-ribose 1-diphosphate [CPD:C00119];EC:2.7.6.1
EC:2.2.1.2;"sedoheptulose 7-phosphate [CPD:C05382];"
EC:2.2.1.2;D-glyceraldehyde 3-phosphate [CPD:C00118]
"D-erythrose 4-phosphate [CPD:C00279];";EC:2.2.1.2
D-fructose 6-phosphate [CPD:C00085];EC:2.2.1.2
EC:4.1.2.4;2-deoxy-D-ribose 5-phosphate [CPD:C00673]
"D-glyceraldehyde 3-phosphate [CPD:C00118];";EC:4.1.2.4
acetaldehyde [CPD:C00084];EC:4.1.2.4
EC:1.1.1.47 3.1.1.31;"D-glucose [CPD:C00031];"
EC:1.1.1.47 3.1.1.31;"NAD+ [CPD:C00003];"
EC:1.1.1.47 3.1.1.31;NADP+ [CPD:C00006]
"D-glucono-1,5-lactone [CPD:C00198];";EC:1.1.1.47 3.1.1.31
"NADH [CPD:C00004];";EC:1.1.1.47 3.1.1.31
"NADPH [CPD:C00005];";EC:1.1.1.47 3.1.1.31
H+ [CPD:C00080];EC:1.1.1.47 3.1.1.31
EC:3.2.1.31;"beta-D-glucuronoside [CPD:C03033];"
EC:3.2.1.31;H2O [CPD:C00001]
"D-glucuronate [CPD:C00191];";EC:3.2.1.31
alcohol [CPD:C00069];EC:3.2.1.31
EC:2.4.1.17;"UDP-alpha-D-glucuronate [CPD:C00167];"
EC:2.4.1.17;acceptor [CPD:C19645]
"UDP [CPD:C00015];";EC:2.4.1.17
acceptor beta-D-glucuronoside [CPD:C19646];EC:2.4.1.17
EC:1.1.1.22;"UDP-alpha-D-glucose [CPD:C00029];"
EC:1.1.1.22;"NAD+ [CPD:C00003];"
EC:1.1.1.22;H2O [CPD:C00001]
"UDP-alpha-D-glucuronate [CPD:C00167];";EC:1.1.1.22
"NADH [CPD:C00004];";EC:1.1.1.22
H+ [CPD:C00080];EC:1.1.1.22
EC:2.7.7.9;"UTP [CPD:C00075];"
EC:2.7.7.9;alpha-D-glucose 1-phosphate [CPD:C00103]
"diphosphate [CPD:C00013];";EC:2.7.7.9
UDP-glucose [CPD:C00029];EC:2.7.7.9
EC:2.7.1.17;"ATP [CPD:C00002];"
EC:2.7.1.17;D-xylulose [CPD:C00310]
"ADP [CPD:C00008];";EC:2.7.1.17
D-xylulose 5-phosphate [CPD:C00231];EC:2.7.1.17
EC:1.1.1.10;"xylitol [CPD:C00379];"
EC:1.1.1.10;NADP+ [CPD:C00006]
"L-xylulose [CPD:C00312];";EC:1.1.1.10
"NADPH [CPD:C00005];";EC:1.1.1.10
H+ [CPD:C00080];EC:1.1.1.10
EC:1.1.1.21;"alditol [CPD:C00717];"
EC:1.1.1.21;"NAD+ [CPD:C00003];"
EC:1.1.1.21;NADP+ [CPD:C00006]
"aldose [CPD:C01370];";EC:1.1.1.21
"NADH [CPD:C00004];";EC:1.1.1.21
"NADPH [CPD:C00005];";EC:1.1.1.21
H+ [CPD:C00080];EC:1.1.1.21
EC:1.3.1.20 1.1.1.179;"trans-1,2-dihydrobenzene-1,2-diol [CPD:C04221];"
EC:1.3.1.20 1.1.1.179;NADP+ [CPD:C00006]
"catechol [CPD:C00090];";EC:1.3.1.20 1.1.1.179
"NADPH [CPD:C00005];";EC:1.3.1.20 1.1.1.179
H+ [CPD:C00080];EC:1.3.1.20 1.1.1.179
EC:1.1.1.14;"L-iditol [CPD:C01507];"
EC:1.1.1.14;NAD+ [CPD:C00003]
"L-sorbose [CPD:C00247];";EC:1.1.1.14
"NADH [CPD:C00004];";EC:1.1.1.14
H+ [CPD:C00080];EC:1.1.1.14
EC:1.1.1.45;"L-gulonate [CPD:C00800];"
EC:1.1.1.45;NAD+ [CPD:C00003]
"3-dehydro-L-gulonate [CPD:C00618];";EC:1.1.1.45
"NADH [CPD:C00004];";EC:1.1.1.45
H+ [CPD:C00080];EC:1.1.1.45
EC:2.7.1.3;"ATP [CPD:C00002];"
EC:2.7.1.3;D-fructose [CPD:C00095]
"ADP [CPD:C00008];";EC:2.7.1.3
D-fructose 1-phosphate [CPD:C01094];EC:2.7.1.3
EC:2.7.1.105 3.1.3.46;"ATP [CPD:C00002];"
EC:2.7.1.105 3.1.3.46;beta-D-fructose 6-phosphate [CPD:C05345]
"ADP [CPD:C00008];";EC:2.7.1.105 3.1.3.46
beta-D-fructose 2,6-bisphosphate [CPD:C00665];EC:2.7.1.105 3.1.3.46
EC:5.3.1.8;D-mannose 6-phosphate [CPD:C00275]
D-fructose 6-phosphate [CPD:C00085];EC:5.3.1.8
EC:5.4.2.8;alpha-D-mannose 1-phosphate [CPD:C00636]
D-mannose 6-phosphate [CPD:C00275];EC:5.4.2.8
EC:2.7.7.13;"GTP [CPD:C00044];"
EC:2.7.7.13;alpha-D-mannose 1-phosphate [CPD:C00636]
"diphosphate [CPD:C00013];";EC:2.7.7.13
GDP-mannose [CPD:C00096];EC:2.7.7.13
EC:4.2.1.47;GDP-alpha-D-mannose [CPD:C00096]
"GDP-4-dehydro-alpha-D-rhamnose [CPD:C01222];";EC:4.2.1.47
H2O [CPD:C00001];EC:4.2.1.47
EC:1.1.1.271;"GDP-beta-L-fucose [CPD:C00325];"
EC:1.1.1.271;NADP+ [CPD:C00006]
"GDP-4-dehydro-alpha-D-rhamnose [CPD:C01222];";EC:1.1.1.271
"NADPH [CPD:C00005];";EC:1.1.1.271
H+ [CPD:C00080];EC:1.1.1.271
EC:2.7.7.30;"GTP [CPD:C00044];"
EC:2.7.7.30;beta-L-fucose 1-phosphate [CPD:C02985]
"diphosphate [CPD:C00013];";EC:2.7.7.30
GDP-L-fucose [CPD:C00325];EC:2.7.7.30
EC:2.7.1.52;"ATP [CPD:C00002];"
EC:2.7.1.52;L-fucose [CPD:C01019]
"ADP [CPD:C00008];";EC:2.7.1.52
beta-L-fucose 1-phosphate [CPD:C02985];EC:2.7.1.52
EC:2.7.1.28 2.7.1.29 4.6.1.15;"ATP [CPD:C00002];"
EC:2.7.1.28 2.7.1.29 4.6.1.15;D-glyceraldehyde [CPD:C00577]
"ADP [CPD:C00008];";EC:2.7.1.28 2.7.1.29 4.6.1.15
D-glyceraldehyde 3-phosphate [CPD:C00118];EC:2.7.1.28 2.7.1.29 4.6.1.15
EC:3.2.1.22;Also hydrolyses alpha-D-fucosides.
EC 3.2.1.22 created 1961;EC:3.2.1.22
EC:3.2.1.108 3.2.1.62;"lactose [CPD:C00243];"
EC:3.2.1.108 3.2.1.62;H2O [CPD:C00001]
"D-galactose [CPD:C00124];";EC:3.2.1.108 3.2.1.62
D-glucose [CPD:C00031];EC:3.2.1.108 3.2.1.62
EC:3.2.1.23;"Some enzymes in this group hydrolyse alpha-L-arabinosides; some animal enzymes also hydrolyse beta-D-fucosides and beta-D-glucosides; cf. EC 3.2.1.108 lactase."
EC 3.2.1.23 created 1961, modified 1980;EC:3.2.1.23
EC:5.1.3.2;UDP-alpha-D-glucose [CPD:C00029]
UDP-alpha-D-galactose [CPD:C00052];EC:5.1.3.2
EC:2.7.7.12;"UDP-alpha-D-glucose [CPD:C00029];"
EC:2.7.7.12;alpha-D-galactose 1-phosphate [CPD:C00446]
"alpha-D-glucose 1-phosphate [CPD:C00103];";EC:2.7.7.12
UDP-alpha-D-galactose [CPD:C00052];EC:2.7.7.12
EC:2.4.1.22 2.4.1.90 2.4.1.38 2.4.1.-;"UDP-alpha-D-galactose [CPD:C00052];"
EC:2.4.1.22 2.4.1.90 2.4.1.38 2.4.1.-;D-glucose [CPD:C00031]
"UDP [CPD:C00015];";EC:2.4.1.22 2.4.1.90 2.4.1.38 2.4.1.-
lactose [CPD:C00243];EC:2.4.1.22 2.4.1.90 2.4.1.38 2.4.1.-
EC:3.2.1.20;This single entry covers a group of enzymes whose specificity is directed mainly towards the exohydrolysis of (1->4)-alpha-glucosidic linkages, and that hydrolyse oligosaccharides rapidly, relative to polysaccharide, which are hydrolysed relatively slowly, or not at all. The intestinal enzyme also hydrolyses polysaccharides, catalysing the reactions of EC 3.2.1.3 glucan 1,4-alpha-glucosidase and, more slowly, hydrolyses (1->6)-alpha-D-glucose links.
EC 3.2.1.20 created 1961;EC:3.2.1.20
EC:3.2.1.48 3.2.1.10;This enzyme is isolated from intestinal mucosa as a single polypeptide chain that also displays activity towards isomaltose (EC 3.2.1.10 oligo-1,6-glucosidase).
EC 3.2.1.48 created 1972;EC:3.2.1.48 3.2.1.10
EC:2.7.1.6;"ATP [CPD:C00002];"
EC:2.7.1.6;alpha-D-galactose [CPD:C00984]
"ADP [CPD:C00008];";EC:2.7.1.6
alpha-D-galactose 1-phosphate [CPD:C00446];EC:2.7.1.6
EC:1.13.99.1;"myo-inositol [CPD:C00137];"
EC:1.13.99.1;O2 [CPD:C00007]
"D-glucuronate [CPD:C00191];";EC:1.13.99.1
H2O [CPD:C00001];EC:1.13.99.1
EC:2.3.1.85;"acetyl-CoA [CPD:C00024];"
EC:2.3.1.85;"malonyl-CoA [CPD:C00083];"
EC:2.3.1.85;"NADPH [CPD:C00005];"
EC:2.3.1.85;H+ [CPD:C00080]
"long-chain fatty acid [CPD:C00638];";EC:2.3.1.85
"CoA [CPD:C00010];";EC:2.3.1.85
"CO2 [CPD:C00011];";EC:2.3.1.85
NADP+ [CPD:C00006];EC:2.3.1.85
EC:6.4.1.2 6.3.4.14 2.1.3.15;"ATP [CPD:C00002];"
EC:6.4.1.2 6.3.4.14 2.1.3.15;"acetyl-CoA [CPD:C00024];"
EC:6.4.1.2 6.3.4.14 2.1.3.15;hydrogencarbonate [CPD:C00288]
"ADP [CPD:C00008];";EC:6.4.1.2 6.3.4.14 2.1.3.15
"phosphate [CPD:C00009];";EC:6.4.1.2 6.3.4.14 2.1.3.15
malonyl-CoA [CPD:C00083];EC:6.4.1.2 6.3.4.14 2.1.3.15
EC:2.3.1.39;"malonyl-CoA [CPD:C00083];"
EC:2.3.1.39;[acyl-carrier protein] [CPD:C00229]
"CoA [CPD:C00010];";EC:2.3.1.39
malonyl-[acyl-carrier protein] [CPD:C01209];EC:2.3.1.39
EC:2.3.1.179;"(Z)-hexadec-11-enoyl-[acyl-carrier protein];"
EC:2.3.1.179;malonyl-[acyl-carrier protein] [CPD:C01209]
"(Z)-3-oxooctadec-13-enoyl-[acyl-carrier protein];";EC:2.3.1.179
"CO2 [CPD:C00011];";EC:2.3.1.179
[acyl-carrier protein] [CPD:C00229];EC:2.3.1.179
EC:3.1.2.21;"dodecanoyl-[acyl-carrier protein] [CPD:C05223];"
EC:3.1.2.21;H2O [CPD:C00001]
"[acyl-carrier protein] [CPD:C00229];";EC:3.1.2.21
dodecanoate [CPD:C02679];EC:3.1.2.21
EC:6.2.1.3;"ATP [CPD:C00002];"
EC:6.2.1.3;"long-chain fatty acid [CPD:C00638];"
EC:6.2.1.3;CoA [CPD:C00010]
"AMP [CPD:C00020];";EC:6.2.1.3
"diphosphate [CPD:C00013];";EC:6.2.1.3
acyl-CoA [CPD:C00040];EC:6.2.1.3
EC:6.4.1.2 6.3.4.14 2.1.3.15;"ATP [CPD:C00002];"
EC:6.4.1.2 6.3.4.14 2.1.3.15;"acetyl-CoA [CPD:C00024];"
EC:6.4.1.2 6.3.4.14 2.1.3.15;hydrogencarbonate [CPD:C00288]
"ADP [CPD:C00008];";EC:6.4.1.2 6.3.4.14 2.1.3.15
"phosphate [CPD:C00009];";EC:6.4.1.2 6.3.4.14 2.1.3.15
malonyl-CoA [CPD:C00083];EC:6.4.1.2 6.3.4.14 2.1.3.15
EC:1.1.1.62 1.1.1.239;"17beta-estradiol;"
EC:1.1.1.62 1.1.1.239;"NAD+ [CPD:C00003];"
EC:1.1.1.62 1.1.1.239;NADP+ [CPD:C00006]
"estrone [CPD:C00468];";EC:1.1.1.62 1.1.1.239
"NADH [CPD:C00004];";EC:1.1.1.62 1.1.1.239
"NADPH [CPD:C00005];";EC:1.1.1.62 1.1.1.239
H+ [CPD:C00080];EC:1.1.1.62 1.1.1.239
EC:1.1.1.35;"(S)-3-hydroxyacyl-CoA [CPD:C00640];"
EC:1.1.1.35;NAD+ [CPD:C00003]
"3-oxoacyl-CoA [CPD:C00264];";EC:1.1.1.35
"NADH [CPD:C00004];";EC:1.1.1.35
H+ [CPD:C00080];EC:1.1.1.35
EC:2.3.1.16;"acyl-CoA [CPD:C00040];"
EC:2.3.1.16;"acetyl-CoA [CPD:C00024];"
EC:2.3.1.16;"[acetyl-CoA C-acyltransferase]-S-acyl-L-cysteine;"
EC:2.3.1.16;[acetyl-CoA C-acyltransferase]-L-cysteine
"CoA [CPD:C00010];";EC:2.3.1.16
"3-oxoacyl-CoA [CPD:C00264];";EC:2.3.1.16
"[acetyl-CoA C-acyltransferase]-L-cysteine;";EC:2.3.1.16
[acetyl-CoA C-acyltransferase]-S-acyl-L-cysteine;EC:2.3.1.16
EC:4.2.1.17 1.1.1.211;(3S)-3-hydroxyacyl-CoA [CPD:C00640]
"trans-2-enoyl-CoA [CPD:C00658];";EC:4.2.1.17 1.1.1.211
"trans-3-enoyl-CoA [CPD:C05067];";EC:4.2.1.17 1.1.1.211
H2O [CPD:C00001];EC:4.2.1.17 1.1.1.211
EC:3.1.2.22;"palmitoyl[protein];"
EC:3.1.2.22;H2O [CPD:C00001]
"palmitate [CPD:C00249];";EC:3.1.2.22
protein [CPD:C00017];EC:3.1.2.22
EC:1.1.1.62 1.1.1.330;"17beta-estradiol;"
EC:1.1.1.62 1.1.1.330;"NAD+ [CPD:C00003];"
EC:1.1.1.62 1.1.1.330;NADP+ [CPD:C00006]
"estrone [CPD:C00468];";EC:1.1.1.62 1.1.1.330
"NADH [CPD:C00004];";EC:1.1.1.62 1.1.1.330
"NADPH [CPD:C00005];";EC:1.1.1.62 1.1.1.330
H+ [CPD:C00080];EC:1.1.1.62 1.1.1.330
EC:4.2.1.134;very-long-chain (3R)-3-hydroxyacyl-CoA [CPD:C20878]
"very-long-chain trans-2,3-dehydroacyl-CoA [CPD:C20879];";EC:4.2.1.134
H2O [CPD:C00001];EC:4.2.1.134
EC:1.3.1.93;"very-long-chain acyl-CoA [CPD:C20876];"
EC:1.3.1.93;NADP+ [CPD:C00006]
"very-long-chain trans-2,3-dehydroacyl-CoA [CPD:C20879];";EC:1.3.1.93
"NADPH [CPD:C00005];";EC:1.3.1.93
H+ [CPD:C00080];EC:1.3.1.93
EC:3.1.2.2;"palmitoyl-CoA [CPD:C00154];"
EC:3.1.2.2;H2O [CPD:C00001]
"CoA [CPD:C00010];";EC:3.1.2.2
palmitate [CPD:C00249];EC:3.1.2.2
EC:2.3.1.199;"very-long-chain acyl-CoA [CPD:C20876];"
